com_id,com_nam,lin_ima,is_lob,dat_fil
"C00385120","21ST CENTURY ONCOLOGY, INC. POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_14960048123+0","Y","2014-01-23"
"C00385120","21ST CENTURY ONCOLOGY, INC. POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_29933399828+0","Y","2009-03-27"
"C00385120","21ST CENTURY ONCOLOGY, INC. POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_29991868417+0","Y","2009-03-27"
"C00084475","3M COMPANY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_29991790701+0","Y","2009-03-25"
"C00084475","3M COMPANY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_29991791429+0","Y","2009-03-25"
"C00169508","AAI CORPORATION POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_29933598967+0","Y","2009-04-27"
"C00040279","ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_14952593476+0","Y","2014-11-18"
"C00040279","ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_13960010625+0","Y","2013-01-02"
"C00040279","ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_12940821163+0","Y","2012-12-05"
"C00040279","ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_11930682552+0","Y","2011-04-15"
"C00040279","ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_10991168448+0","Y","2010-09-17"
"C00040279","ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_10990348484+0","Y","2010-03-02"
"C00040279","ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_29992572860+0","Y","2009-08-11"
"C00040279","ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_29992213579+0","Y","2009-06-08"
"C00040279","ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_29991779248+0","Y","2009-03-20"
"C00040279","ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_29991757534+0","Y","2009-03-16"
"C00379719","ABBOTT MEDICAL OPTICS INC. POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_29933395841+0","Y","2009-03-24"
"C00536573","ABBVIE POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_201602259009621843+0","Y","2016-02-25"
"C00536573","ABBVIE POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_14951877376+0","Y","2014-10-21"
"C00536573","ABBVIE POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_13940966806+0","Y","2013-07-08"
"C00536573","ABBVIE POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_13940010047+0","Y","2013-01-02"
"C00536573","ABBVIE POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_12030953908+0","Y","2012-11-19"
"C00483891","ACCELERATING ENERGY LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_201509049001613843+0","Y","2015-09-04"
"C00483891","ACCELERATING ENERGY LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_15951364745+0","Y","2015-05-07"
"C00483891","ACCELERATING ENERGY LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_13964824545+0","Y","2013-10-22"
"C00483891","ACCELERATING ENERGY LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_13960811197+0","Y","2013-02-07"
"C00483891","ACCELERATING ENERGY LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_12970039519+0","","2012-01-04"
"C00483891","ACCELERATING ENERGY LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_10991119531+0","","2010-08-24"
"C00483891","ACCELERATING ENERGY LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_10030340128+0","","2010-05-25"
"C00300707","ACCENTURE INC. POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_14940005424+0","Y","2014-01-06"
"C00300707","ACCENTURE INC. POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_13940244051+0","Y","2013-03-05"
"C00300707","ACCENTURE INC. POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_29991792819+0","Y","2009-03-26"
"C00034785","ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_14941170438+0","Y","2014-04-29"
"C00034785","ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_13941842460+0","Y","2013-10-17"
"C00034785","ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_12954464265+0","Y","2012-10-18"
"C00034785","ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_12952622654+0","Y","2012-08-08"
"C00034785","ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_12952245616+0","","2012-07-02"
"C00034785","ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_12952236236+0","","2012-06-28"
"C00034785","ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_12951576629+0","","2012-04-23"
"C00034785","ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_11932344076+0","","2011-09-15"
"C00034785","ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_11932343731+0","","2011-09-15"
"C00034785","ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_29991935874+0","","2009-04-14"
"C00233353","AD ALLIANCE","http://docquery.fec.gov/cgi-bin/fecimg/?_15970319901+0","Y","2015-03-27"
"C00233353","AD ALLIANCE","http://docquery.fec.gov/cgi-bin/fecimg/?_29991878577+0","Y","2009-04-06"
"C00429001","ADVANCE AMERICA CASH ADVANCE CENTERS INC. PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_201509089001621541+0","Y","2015-09-08"
"C00429001","ADVANCE AMERICA CASH ADVANCE CENTERS INC. PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_12952294350+0","Y","2012-07-11"
"C00429001","ADVANCE AMERICA CASH ADVANCE CENTERS INC. PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_11930651399+0","Y","2011-04-13"
"C00429001","ADVANCE AMERICA CASH ADVANCE CENTERS INC. PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_29933397463+0","Y","2009-03-26"
"C00340356","ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_11931353896+0","Y","2011-05-12"
"C00340356","ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_11990070868+0","Y","2011-01-21"
"C00340356","ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_10932120649+0","Y","2010-12-20"
"C00340356","ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_10930779297+0","Y","2010-05-25"
"C00340356","ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_29933400502+0","Y","2009-03-28"
"C00404483","ADVANCED MICRO DEVICES, INC. PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_201508149000830126+0","Y","2015-08-14"
"C00404483","ADVANCED MICRO DEVICES, INC. PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_10991054945+0","Y","2010-08-12"
"C00404483","ADVANCED MICRO DEVICES, INC. PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_29933364343+0","Y","2009-03-18"
"C00279604","ADVANTA CORP EMPLOYEES' POLITICAL INVOLVEMENT FUND","http://docquery.fec.gov/cgi-bin/fecimg/?_10930470282+0","","2010-04-06"
"C00279604","ADVANTA CORP EMPLOYEES' POLITICAL INVOLVEMENT FUND","http://docquery.fec.gov/cgi-bin/fecimg/?_29991981008+0","Y","2009-04-17"
"C00279604","ADVANTA CORP EMPLOYEES' POLITICAL INVOLVEMENT FUND","http://docquery.fec.gov/cgi-bin/fecimg/?_29933397067+0","Y","2009-03-26"
"C00374447","AECOM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_15951102645+0","Y","2015-04-01"
"C00374447","AECOM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_12952163754+0","Y","2012-06-20"
"C00374447","AECOM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_12950443405+0","Y","2012-02-07"
"C00374447","AECOM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_12950443401+0","Y","2012-02-07"
"C00374447","AECOM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_11971719248+0","Y","2011-10-19"
